(object ID),ALL LEVELS,"Acid Factory (28179535)","Acu (61079355)","Adust (33244195)","Aesthetic (60020026)","Akashic Records (58150142)","Altered Ascent (60698989)","AlterGame XVII (39732335)","Amplification (20635816)","Anubis (25886024)","Aquarius (29416734)","Aquatic Auroras (60740290)","Arctic Lights (52919433)","Aronia (60564010)","Artificial Ascent (27122654)","Asterios (60870688)","Auditory Breaker (51791710)","Auroral Darkness (63851728)","Axolotl (72003193)","Battletown (16437345)","BBBBBBBBBBBBBBBBBBBB (47446042)","Beast Mode Full (29094196)","Bloodlust (42584142)","Boom Slayer (67646176)","Brainfugd (69434308)","Buried Angel (38514054)","Cadrega City (37255449)","Calculator Core (58355141)","Carnation (25969464)","CastleMania (65044525)","Catalyze (50333567)","Celestial Force  (47237400)","Chambers (28255647)","Chromatic Haze (62869408)","Cognition (57600307)","Cold Sweat (63996127)","Congregation (68668045)","Crazy Ball (28270854)","Crimson Planet (45866767)","Crystal Essence (36792656)","Crystal fusion (35280911)","Cybernetic Crescent (66291197)","Danger Zone (28677296)","dark drop (19862531)","Dark Flare (48942548)","Darkness Keeper (36745142)","Deimos (52955167)","Delta Interface (45094581)","Demonicat (41058711)","Desert Bounce (36500807)","Devil Vortex (32969607)","Digital Descent (37456092)","Drippy Dub (26897899)","Edge of the Blade (61366470)","Empyrean (39853458)","Erebus (31462941)","Eternal Moment (59539361)","Ethereal Artifice (58252259)","Extinction (38427291)","Fabrication (33983930)","Factory Realm X (37792861)","Fear zone (27694897)","Fire Aura (4243988)","First Race (27483789)","Fragile (65588448)","FREEDOM (29247995)","Freedom08 (55274070)","Frontline Full (28127292)","Frontlines (32927589)","Frozen Cave (68908396)","Funkin (68177479)","Future Funk II (59626284)","Future Funk (44062068)","Gamma (39832454)","Generation Retro (12107595)","Generic Wave (49576382)","GeoBound (24302376)","GhostTown (27973097)","Ghoul (44121158)","Glowy (37361518)","Glue Rush (68203321)","Ground Zero (29071134)","Half Past Twelve (40937291)","HeLL (25706351)","HellGate Menace (44131636)","HOW (63395980)","Hyper Paracosm (42117203)","HyperSonic (30219145)","ichor (28794068)","Infernal Arena (18533341)","Infusion (26070995)","IZnite (32400752)","kalaxian (36997718)","Kappaclysm (7485599)","Kenos (58673581)","Killbot (38754426)","kowareta (46763581)","LETs GO (30468868)","Leyak (61137742)","Lucid Chaos (62817170)","Lucid Nightmares (52310333)","Lustre (37188385)","Macabre (56782662)","Magmatic Sanctuary (27448202)","Mechanical Showdown (27786218)","Mechanism (44063088)","Mind Control (40638411)","Mirrored Calamity (59157630)","Missing Benefits (47043002)","Molten Core (68414488)","Molten Gear (62138313)","Monster Mischief (42843431)","Necromancer (53443974)","Nhelv (68353244)","Nowise (38398923)","Occult Outcry (62119245)","Ocular Miracle (62152040)","Odyssey (39853981)","Omega Interface (68654380)","Omega (59706883)","OMG ALIENS (41736289)","Omicron (63560498)","Ominous (26095850)","Ouroboros (56703691)","Outbreak (72184562)","OuterSpace (27732941)","Overture (28200611)","Paroxysm (42631377)","Payload (29394058)","Photovoltaic II (49588510)","Plasma Pulse Finale (38655495)","Polihedral (27399722)","Powerful (39749578)","PP (60605814)","Predator (43537990)","Prismarine (36301959)","Promethean (69333212)","Pureland (34194741)","Quantum Processing (38235367)","Rage (53878361)","Ragnarok (55624478)","Rate Demon (44860762)","Renevant (58161496)","Rhythm Doctor (63663765)","Rising  (27929950)","Rose (35165900)","Sanctuary of Light (37187779)","SARY NEVER CLEAR (33498127)","Scarlet Surge (4259126)","Schade (37269362)","Sephiroth (60620063)","Shock (28225110)","Shrill Hallway (36966088)","Shrimp (26317634)","Shuriken (43923301)","Sidestep (18025697)","Sigma (51657783)","Silence (32614529)","Silent Club (68600127)","SimPle JumP 2 (28087089)","Skyward (28151870)","SLAM (43908596)","Solarion (47171509)","Sonic Wave Infinity (69685815)","Sonic Wave Rebirth (68688849)","Sonic Wave (26681070)","Spacial Rend (40292513)","Spectrum Cyclone (59209010)","Split Path (62743002)","Spooky Light (26949498)","Stalemate Redux (37398911)","Step To Hell (34489220)","Stygian Machinery (64554339)","Sunset Sandstorm (55547703)","Tapwreck (58306889)","Tartarus (59075347)","Tempered Steel (59270436)","Tenebris (34851342)","The Behemoth (35418014)","The Golden (60978746)","The Reaper (68894921)","The Rupture (57828784)","The Yandere (54615662)","The Yatagarasu (25645517)","Thinking Space (54953085)","Timeless (31037168)","Timor (65969451)","Titan Complex (44022701)","Traction (23189196)","Trip (55089784)","Vibration (27728679)","Victim (27873500)","Visible Ray  (48267315)","Void Wave (59620684)","Wasureta (64658786)","WOW (49291867)","xo (58825144)","Yatagarasu  (28220417)","Yuh (62557486)","ZAPHKIEL (36329434)","Zodiac (52374843)"
Total,18157320,14192,32154,26726,97483,230166,176699,4961,12353,13183,21692,92187,44594,126580,96317,211417,113793,130234,85444,12585,128717,12761,170739,325325,246581,73831,92240,345073,17340,415721,97751,174562,17202,88713,66616,121468,23723,9997,91998,65190,47128,189997,17553,16032,144415,29847,92315,111621,128126,20210,38927,153295,17694,166624,65072,36831,57496,184466,26166,118690,60907,13266,15040,18886,153802,63617,372011,8828,79768,135512,66149,184457,115393,90791,23082,108256,18824,7411,48897,269435,123450,21937,21415,29996,53115,354347,41950,71343,17011,11497,12109,10953,30009,13083,156987,144012,38259,14411,188433,166240,76298,39527,98250,27045,22209,35519,35147,140430,71128,66663,268173,41123,76412,177925,79188,70656,548393,62629,134688,281249,27009,337595,16370,267211,65946,13903,14617,40075,16519,112343,45496,15806,28076,131411,32473,30429,56333,12811,21268,62281,312284,40128,78150,11507,19392,37987,28957,45349,12420,13251,169948,18607,66134,11622,35197,29806,282061,15565,7994,7605,11881,54161,146244,249017,52478,24957,192812,111765,85221,18358,41856,125519,124061,56781,52814,43361,111907,24625,73517,117637,145836,93447,196951,79554,29968,14043,51620,248759,20085,143146,15099,4585,119152,367005,106289,200664,37837,87779,72454,96845,196940
1,34735,0,0,0,71,242,137,0,0,0,170,5,1,78,2,3627,3,71,0,0,24,0,2,2019,5,0,0,609,0,1234,1309,186,0,6,2,1505,1489,0,24,113,38,205,322,61,332,28,0,0,4,663,8,174,0,44,100,0,246,197,2,181,7,1,0,21,10,345,27,0,0,683,587,417,363,137,0,12,0,0,0,14,488,0,0,5,108,151,0,280,0,0,0,0,66,0,5,110,23,0,328,1038,43,0,206,0,0,0,261,1,989,60,66,0,34,1161,29,0,560,26,17,137,50,194,1,380,155,0,0,0,174,41,85,0,0,3303,1098,0,41,0,55,203,78,256,16,16,86,43,0,71,0,0,105,0,0,0,62,0,90,18,3,0,0,1,0,125,4,1,169,99,7,0,79,3,65,0,0,10,40,18,0,10,93,260,379,3,0,0,302,200,34,0,1,0,132,346,45,17,923,163,46,49,132
2,2408,0,0,0,0,0,2,0,0,0,0,0,0,665,18,0,0,0,0,0,0,0,0,0,0,0,10,1,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,23,0,0,0,0,0,48,0,0,0,1,0,0,0,0,0,0,0,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,8,16,48,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,35,126,0,0,8,0,0,0,0,0,0,18,0,0,0,0,1,0,0,0,0,0,43,0,0,898,59,0,0
3,733,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,28,0,0,0,0,0,0,28,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,416,11,0,0
4,116,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,1,0,0
5,24074,0,0,9,0,139,135,0,0,26,62,83,5,492,13,0,0,853,0,6,0,0,0,0,0,36,62,229,6,0,39,670,9,0,0,0,0,0,12,43,0,4,0,16,81,0,338,271,0,0,0,314,0,12,326,304,0,77,0,82,104,0,110,0,512,0,1206,0,0,0,483,0,1,155,0,0,164,0,3,4,83,0,0,0,0,0,4,0,0,0,0,0,0,0,98,0,619,0,0,39,103,0,457,0,0,0,0,142,602,0,95,0,1055,72,0,147,592,0,0,390,0,154,0,0,0,0,0,0,0,68,344,0,0,0,0,3,0,0,397,0,59,961,0,0,0,0,0,229,0,53,120,12,0,0,0,0,353,28,0,0,0,78,2,2,0,0,216,73,0,0,202,22,410,0,0,139,459,0,0,4,3,20,85,0,0,0,0,472,0,63,0,0,14,6,79,475,6197,98,0,0,180
6,296,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,2,155,9,0,0
7,732,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,0,0,0,0,0,0,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,4,11,0,0,0,0,0,0,5,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,449,12,0,0
8,27301,1,760,96,60,191,40,10,0,10,1,9,0,57,110,340,31,2,54,0,26,0,180,182,67,65,0,165,0,375,1125,167,12,4,17,188,0,0,235,0,18,113,21,67,90,0,37,0,285,18,44,110,179,95,4,162,8,177,35,188,55,55,0,19,104,58,298,0,645,1473,600,0,44,180,12,8,1,3,23,1217,596,58,95,49,0,3,1,49,0,0,0,0,20,43,91,187,164,0,57,341,26,220,193,0,0,3,0,334,830,3,181,0,29,587,310,11,345,14,156,64,446,15,0,154,2,0,0,3,50,242,183,0,64,529,195,0,130,0,52,144,384,0,373,1,0,11,0,740,0,10,296,82,1,11,0,0,236,53,553,0,1,2,150,48,65,55,89,8,75,12,20,144,158,6,0,1474,89,105,329,151,75,10,359,66,331,0,59,279,9,78,3,9,626,160,11,96,417,249,1,63,373
9,7874,403,0,0,0,0,0,0,0,0,0,0,0,0,17,0,165,0,0,0,0,0,948,0,0,0,106,0,0,0,0,0,93,0,0,0,0,0,40,0,0,0,0,47,0,0,123,1239,0,0,0,0,0,0,0,57,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,257,1,0,0,0,0,0,0,0,0,586,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,118,839,0,7,0,0,0,0,335,0,0,623,0,0,0,0,0,5,0,0,0,0,0,5,273,0,0,0,25,0,0,0,0,0,0,0,0,632,0,0,0,0,0,0,0,20,0,0,0,0,515,0,0
10,6570,4,9,15,58,60,44,0,20,8,19,32,8,63,60,57,13,37,9,7,14,16,63,16,0,34,58,99,9,47,53,103,3,24,31,89,9,7,40,17,5,49,5,10,60,5,51,29,31,5,15,34,9,61,23,16,25,74,7,78,33,2,7,29,53,26,163,20,38,20,4,60,28,53,5,33,23,6,11,73,16,3,13,15,12,0,14,38,11,0,16,5,12,7,53,61,21,11,49,76,30,9,47,17,13,6,24,41,24,18,111,15,19,236,12,25,206,11,49,81,17,83,2,50,12,9,6,82,11,36,40,12,6,25,5,1,21,20,11,21,52,70,54,0,3,0,6,9,6,6,56,19,27,10,8,107,71,6,21,3,33,25,26,62,16,14,58,52,0,5,29,50,62,29,11,36,45,28,49,53,31,44,64,16,19,13,26,73,24,5,50,12,59,143,31,92,23,48,70,21,58
11,5444,0,14,13,42,51,27,0,17,5,16,36,10,52,40,38,14,23,9,5,12,6,50,13,0,33,53,74,3,7,21,114,2,27,33,58,8,7,22,17,3,34,3,3,47,6,37,26,30,3,13,30,9,55,22,13,13,68,3,66,29,5,6,24,46,19,169,19,39,20,5,51,16,52,4,35,9,6,15,53,14,1,11,13,10,0,11,22,11,0,15,5,9,1,27,53,22,10,46,52,14,6,37,14,12,4,17,34,16,16,83,8,15,289,9,19,202,7,35,79,13,70,3,38,6,11,6,13,4,36,27,13,2,17,4,1,12,16,6,14,57,71,52,0,1,3,5,5,5,3,44,16,29,8,6,114,58,5,17,6,27,8,12,66,15,14,39,35,0,2,21,36,41,24,12,32,34,23,45,58,39,44,55,9,21,2,25,53,21,5,28,12,39,124,28,70,24,40,51,10,56
